NestID,Length,TotalLength,ItemNumber,RemainingLength
6845,60,6498,795,1502
6300,62,3011,1745,39
5116,65,2444,2242,0
72,65,130,1853,5071
72,65,130,1851,5071
5834,68,5543,3649,0
5835,68,4506,3650,107
4786,72,2498,1713,0
8043,74,4941,2245,1059
9036,75,1811,1032,4189
7952,76,2425,3360,0
8251,76,804,3493,1763
9036,76,1811,1015,4189
7584,77,4656,271,0
9205,78,487,181,4123
9313,79,3204,2011,6
9976,80,5859,4418,0
5477,82,3957,3052,2043
10053,83,2194,3945,0
1284,84,5887,1891,0
7813,84,1003,1546,1325
7813,84,1003,1547,1325
8042,84,6000,2248,0
8251,84,804,3449,1763
5834,88,5543,3652,0
5834,88,5543,3651,0
7586,91,6000,270,0
9485,92,8000,1844,0
105,92,1724,717,4276
7887,93,8000,599,0
9610,93,2390,1990,0
9610,93,2390,2034,0
9411,93,3302,5413,0
6534,94,5038,2753,0
6535,94,6000,2754,0
6120,94,5598,3740,0
103,96,2090,461,2
105,96,1724,431,4276
8686,98,2369,3029,3631
9411,98,3302,5442,0
9411,98,3302,5443,0
732,98,8000,1828,0
11265,98,1182,2605,2790
11265,98,1182,2610,2790
11458,99,4689,1851,0
11461,99,8000,1837,0
11461,99,8000,1849,0
10946,99,3324,2517,0
10946,99,3324,2519,0
10946,99,3324,2521,0
10946,99,3324,2523,0
11221,99,2052,3486,2
11222,99,5993,3482,7
11222,99,5993,3484,7
11223,99,1185,3480,4815
1284,100,5887,1919,0
4786,100,2498,5148,0
705,100,5979,2957,21
732,100,8000,2282,0
7210,100,6000,4564,0
1550,100,6000,158,0
1550,100,6000,245,0
1550,100,6000,246,0
1552,100,6000,244,0
2646,101,6000,1492,0
2648,101,3243,1490,2757
103,101,2090,395,2
103,101,2090,475,2
104,101,5989,714,11
4826,102,5989,4627,11
410,103,4783,376,0
410,103,4783,377,0
410,103,4783,1397,0
6302,103,5831,364,129
6302,103,5831,440,129
6302,103,5831,451,129
6302,103,5831,452,129
6302,103,5831,453,129
6302,103,5831,455,129
6302,103,5831,456,129
6302,103,5831,457,129
6302,103,5831,458,129
6302,103,5831,459,129
